,,Government Procurement Card spend November 2013,,,,,
Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Trans Doc,£
Companies House,CH,11/1/2013,Air fare-Directors,Directorate,CITYWING AVIATION SERV,2,244.9
Companies House,CH,11/15/2013,Air fare-staff,Accounting,www.Flybe EL0GJ9,198,213.2
Companies House,CH,11/13/2013,Air fare-staff,Belfast,CITYWING AVIATION SERV,237,173.88
Companies House,CH,11/14/2013,Air fare-staff,Belfast,www.Flybe D1DD1G,239,181.24
Companies House,CH,11/14/2013,Air fare-staff,Belfast,www.Flybe D1GQZY,240,142.98
Companies House,CH,11/13/2013,Air fare-staff,Belfast,www.Flybe DPE5K1,238,93.55
Companies House,CH,11/13/2013,Air fare-staff,Edinburgh,www.Flybe D88ZRG,18,226.59
Companies House,CH,11/1/2013,Air fare-staff,Marketing & Sales,EASYJET00 000ELZ99F8,123,53.27
Companies House,CH,11/15/2013,Air fare-staff,Policy & Planning,EXPEDIA CO UK,315,194.53
Companies House,CH,11/4/2013,Air fare-staff,Training,www.Flybe E4Z8XF,12,262.23
Companies House,CH,11/4/2013,Air fare-staff,Training,www.Flybe E5LGGW,13,94.99
Companies House,CH,11/22/2013,Building Refurbishment,Building Services,WWW.GENTWORKS.CO.UK,308,1081.2
Companies House,CH,11/26/2013,Building Refurbishment,Building Services,WWW.GENTWORKS.CO.UK,309,742.8
Companies House,CH,11/12/2013,Building Refurbishment,Building Services,WWW.HSDONLINE.CO.UK,307,752.87
Companies House,CH,11/4/2013,Car Hire,Procurement,LEASEDRIVE VELO RENTAL,208,2412.39
Companies House,CH,11/29/2013,Car Hire,Procurement,LEASEDRIVE VELO RENTAL,236,1868.78
Companies House,CH,11/27/2013,Civil Service Learning,Training,CIVIL SERVICE LEARNING,439,273.6
Companies House,CH,11/19/2013,Communications General,Communications,CHIMES,260,51.65
Companies House,CH,11/20/2013,Courier Other,Edinburgh,WWW.PALLETLINE.COM,117,82.8
Companies House,CH,11/22/2013,Courier Other,Edinburgh,WWW.PALLETLINE.COM,118,87.6
Companies House,CH,11/6/2013,Developing Software,Technical Operations Mgmt,GH  GITHUB.COM   2Y1DN,246,32.06
Companies House,CH,11/1/2013,Distributed Equipment,Technical Operations Mgmt,B.T. BUSINESS DIRECT,207,2024.94
Companies House,CH,11/26/2013,Distributed Equipment,Technical Operations Mgmt,B.T. BUSINESS DIRECT,228,-214.32
Companies House,CH,11/25/2013,Distributed Equipment,Technical Operations Mgmt,EBUYER (UK) LTD,8,44.69
Companies House,CH,11/27/2013,Distributed Equipment,Technical Operations Mgmt,EBUYER (UK) LTD,10,24.98
Companies House,CH,11/21/2013,Distributed Equipment,Technical Operations Mgmt,JUST PROJECTORS,7,855.82
Companies House,CH,11/26/2013,Distributed Equipment,Technical Operations Mgmt,PAYPAL  EBUYER UK,9,23.15
Companies House,CH,11/21/2013,Distributed Equipment,Technical Operations Mgmt,PAYPAL  MICROSOFTLU,6,69.98
Companies House,CH,11/11/2013,Distributed Equipment,Technical Operations Mgmt,PAYPAL  NEOESHOPPIN,5,21.95
Companies House,CH,11/8/2013,Distributed Equipment,Technical Operations Mgmt,PAYPAL  TELECONTROL,4,4.84
Companies House,CH,11/4/2013,Distributed Equipment,Technical Operations Mgmt,WWW.BATTERYSTATION.CO.,3,36.97
Companies House,CH,11/5/2013,Distributed Equipment,Technical Operations Mgmt,XMA LTD,211,1313.4
Companies House,CH,11/20/2013,Distributed Equipment,Technical Operations Mgmt,XMA LTD,226,467.46
Companies House,CH,11/27/2013,Distributed Equipment,Technical Operations Mgmt,XMA LTD,231,756.1
Companies House,CH,11/28/2013,Distributed Equipment,Technical Operations Mgmt,XMA LTD,233,1464
Companies House,CH,11/14/2013,Environmental costs,Building Services,PAYPAL  SEASONSCHRI,450,174.56
Companies House,CH,11/20/2013,Exhibitions,Customer Support Services,ASDA SUPERSTORE 4600,404,19.41
Companies House,CH,11/1/2013,Exhibitions,Customer Support Services,CP MANCHESTER,144,138
Companies House,CH,11/11/2013,Exhibitions,Customer Support Services,CP MANCHESTER,383,147.1
Companies House,CH,11/1/2013,Exhibitions,Customer Support Services,CP MANCHESTER,470,122
Companies House,CH,11/6/2013,Exhibitions,Customer Support Services,CP MANCHESTER,473,172
Companies House,CH,11/7/2013,Exhibitions,Customer Support Services,CP MANCHESTER,474,120.1
Companies House,CH,11/18/2013,Exhibitions,Customer Support Services,CROWNE PLAZA,162,437.45
Companies House,CH,11/18/2013,Exhibitions,Customer Support Services,CROWNE PLAZA,389,395
Companies House,CH,11/18/2013,Exhibitions,Customer Support Services,FULL CIRCLE EVENTS & E,160,139
Companies House,CH,11/22/2013,Exhibitions,Customer Support Services,HI EXPRESS EARLS C,169,127
Companies House,CH,11/13/2013,Exhibitions,Customer Support Services,HI EXPRESS EARLS C,484,118
Companies House,CH,11/7/2013,Exhibitions,Customer Support Services,HOLIDAY INN EXPRESS,150,79
Companies House,CH,11/7/2013,Exhibitions,Customer Support Services,HOLIDAY INN EXPRESS,476,79
Companies House,CH,11/25/2013,Exhibitions,Customer Support Services,HOLIDAY INNS,38,178.25
Companies House,CH,11/4/2013,Exhibitions,Customer Support Services,LICENSED SOLUTIONS LTD,22,242.5
Companies House,CH,11/8/2013,Exhibitions,Customer Support Services,MAPLIN MANCHESTER M1,153,19.99
Companies House,CH,11/7/2013,Exhibitions,Customer Support Services,TESCO STORE 6112,152,20.2
Companies House,CH,11/14/2013,Fixtures & Fittings,Technical Operations Mgmt,WWW.PATCHSAVE.COM,224,90
Companies House,CH,11/6/2013,H & S Equipment,Health & Safety,Amazon  Mktplce EU-UK,409,53.97
Companies House,CH,11/13/2013,H & S Equipment,Health & Safety,Amazon  Mktplce EU-UK,413,7.49
Companies House,CH,11/4/2013,H & S Equipment,Health & Safety,BRIDGEND OFFICE FU,408,262.8
Companies House,CH,11/14/2013,H & S Equipment,Health & Safety,BRIDGEND OFFICE FU,414,426
Companies House,CH,11/27/2013,H & S Equipment,Health & Safety,BRIDGEND OFFICE FU,416,150
Companies House,CH,11/27/2013,H & S Equipment,Health & Safety,UV LIGHT TECH LTD,415,422.4
Companies House,CH,11/27/2013,Hardware &SoftwareMaintenance,Procurement,WWW.ZEN.CO.UK,407,306.29
Companies House,CH,11/11/2013,Hardware &SoftwareMaintenance,Procurement,YOUR ORDER  GPIT1-816,406,932.45
Companies House,CH,11/6/2013,Health promotion working group,Health & Safety,MPC VISUAL COMMUNICATI,410,96.2
Companies House,CH,11/6/2013,Health promotion working group,Health & Safety,MPC VISUAL COMMUNICATI,411,115.2
Companies House,CH,11/6/2013,Health promotion working group,Health & Safety,MPC VISUAL COMMUNICATI,412,-96.2
Companies House,CH,11/21/2013,Hospitality,Customer Support Services,Amazon  Mktplce EU-UK,104,12.15
Companies House,CH,11/20/2013,Hospitality,Customer Support Services,Amazon EU,103,74.39
Companies House,CH,11/18/2013,Hospitality,Customer Support Services,HOLIDAY INNS,102,336.25
Companies House,CH,11/14/2013,Hospitality,Customer Support Services,MARRIOTT,94,710
Companies House,CH,11/8/2013,Hospitality,Customer Support Services,MERCURE INVERNESS,114,71
Companies House,CH,11/11/2013,Hospitality,Customer Support Services,MERCURE INVERNESS,115,220
Companies House,CH,11/18/2013,Hospitality,Customer Support Services,RENAISSANCE M'CHESTER,99,630
Companies House,CH,11/7/2013,Hospitality,Customer Support Services,RIVA,112,48.4
Companies House,CH,11/7/2013,Hospitality,Customer Support Services,THISTLE ABERDEEN CALED,113,168.6
Companies House,CH,11/5/2013,Hospitality,Customer Support Services,WWW.192.COM,92,89.94
Companies House,CH,11/13/2013,Micrographics,Procurement,N-A,222,624
Companies House,CH,11/15/2013,Miscellaneous licences,Building Services,THE MCPS-PRS ALLIANCE,446,877.16
Companies House,CH,11/20/2013,Miscellaneous licences,Edinburgh,TVLICENSING.CO.UK,21,145.5
Companies House,CH,11/15/2013,Office Machinery Purchase,Belfast,CURRYS T/SALES,451,719.99
Companies House,CH,11/18/2013,Office Machinery Purchase,Belfast,SIMPLY SAFES LIMIT,452,773.2
Companies House,CH,11/12/2013,Office Machinery Purchase,Electronic Filing & Doc Services,HOOVER LTD,217,59.99
Companies House,CH,11/19/2013,PC's,Technical Operations Mgmt,XMA LTD,225,1216.8
Companies House,CH,11/13/2013,Photography,Marketing & Sales,PROACTIVE UK LTD,458,287.4
Companies House,CH,11/22/2013,Promotional Items,Customer Support Services,PA PROMOTIONS,170,318.88
Companies House,CH,11/8/2013,Publication & prom Literature,Customer Support Services,WATERSTONES,51,16.99
Companies House,CH,11/27/2013,Publication & prom Literature,Marketing & Sales,ACRYLIC PICTURES,466,280.8
Companies House,CH,11/12/2013,Publication & prom Literature,Marketing & Sales,RECOGNITION EXPRESS,457,531
Companies House,CH,11/27/2013,Publications General,Training,Amazon  Mktplce EU-UK,438,29.32
Companies House,CH,11/25/2013,Publications General,Training,Amazon EU,434,10.34
Companies House,CH,11/19/2013,Publications General,Training,INDICATOR-FL MEMO,429,145
Companies House,CH,11/12/2013,Roadshows & Seminar Expenses,Customer Support Services,CROWNE PLAZA,28,96.52
Companies House,CH,11/18/2013,Roadshows & Seminar Expenses,Customer Support Services,CROWNE PLAZA,32,562.9
Companies House,CH,11/8/2013,Roadshows & Seminar Expenses,Customer Support Services,HOLIDAY INNS,26,557.31
Companies House,CH,11/21/2013,Rolling Maint.&minor contracts,Building Services,CARDIFF LOCK AND SAFE,454,54.62
Companies House,CH,11/28/2013,Rolling Maint.&minor contracts,Building Services,CARDIFF LOCK AND SAFE,456,41.4
Companies House,CH,11/8/2013,Rolling Maint.&minor contracts,Building Services,PAYPAL  LANYARDS,444,80.13
Companies House,CH,11/19/2013,Rolling Maint.&minor contracts,Building Services,RADIOCOMS SYSTEMS LTD,447,469.68
Companies House,CH,11/20/2013,Rolling Maint.&minor contracts,Building Services,TRAVIS PERKINS,448,297.6
Companies House,CH,11/20/2013,Rolling Maint.&minor contracts,Building Services,TRAVIS PERKINS,453,48.12
Companies House,CH,11/15/2013,Rolling Maint.&minor contracts,Building Services,W J GARDNER,445,284.4
Companies House,CH,11/27/2013,Rolling Maint.&minor contracts,Building Services,W J GARDNER,455,43.47
Companies House,CH,11/25/2013,Rolling Maint.&minor contracts,Building Services,WWW.A2ZCAMPING.CO.UK,449,43.24
Companies House,CH,11/5/2013,Software Licence,Communications,HOOTSUITE MEDIA INC.,250,3.86
Companies House,CH,11/19/2013,Software Licence,Communications,HOOTSUITE MEDIA INC.,259,118.6
Companies House,CH,11/1/2013,Software Licence,Communications,SPROUT SOCIAL,249,7.83
Companies House,CH,11/18/2013,Software Licence,Communications,SPROUT SOCIAL,258,1.58
Companies House,CH,11/20/2013,Software Licence,Communications,SPROUT SOCIAL,261,255.4
Companies House,CH,11/27/2013,Software Licence,Procurement,WWW.UK.INSIGHT.COM,230,1476.24
Companies House,CH,11/27/2013,Software Licence,Technical Operations Mgmt,PAYPAL  SUBLIMEHQPT,229,178.4
Companies House,CH,11/14/2013,Software Licence,Technical Operations Mgmt,YOUR ORDER  GPCD4416,223,466.38
Companies House,CH,11/29/2013,Software Licence,Technical Operations Mgmt,YOUR ORDER  GPCD4425,234,466.97
Companies House,CH,11/29/2013,Software Licence,Technical Operations Mgmt,YOUR ORDER  GPCD4426,235,466.38
Companies House,CH,11/1/2013,Stationery & Consumables,Business Change/Development,Amazon EU,206,30.11
Companies House,CH,11/26/2013,Stationery & Consumables,Customer Support Services,NEXT DIRECTORY,105,38.99
Companies House,CH,11/6/2013,Stationery & Consumables,Electronic Filing & Doc Services,DIPEC PLASTICS,247,48
Companies House,CH,11/5/2013,Stationery & Consumables,Procurement,BANNER BUSINESS SERVIC,324,82.15
Companies House,CH,11/5/2013,Stationery & Consumables,Procurement,BANNER BUSINESS SERVIC,325,52.7
Companies House,CH,11/5/2013,Stationery & Consumables,Procurement,BANNER BUSINESS SERVIC,326,36.4
Companies House,CH,11/5/2013,Stationery & Consumables,Procurement,BANNER BUSINESS SERVIC,327,28.21
Companies House,CH,11/5/2013,Stationery & Consumables,Procurement,BANNER BUSINESS SERVIC,328,26.4
Companies House,CH,11/5/2013,Stationery & Consumables,Procurement,BANNER BUSINESS SERVIC,329,17.78
Companies House,CH,11/5/2013,Stationery & Consumables,Procurement,BANNER BUSINESS SERVIC,330,14.39
Companies House,CH,11/7/2013,Stationery & Consumables,Procurement,BANNER BUSINESS SERVIC,331,205.02
Companies House,CH,11/7/2013,Stationery & Consumables,Procurement,BANNER BUSINESS SERVIC,332,85.99
Companies House,CH,11/7/2013,Stationery & Consumables,Procurement,BANNER BUSINESS SERVIC,333,34.99
Companies House,CH,11/7/2013,Stationery & Consumables,Procurement,BANNER BUSINESS SERVIC,334,18.77
Companies House,CH,11/7/2013,Stationery & Consumables,Procurement,BANNER BUSINESS SERVIC,335,18.3
Companies House,CH,11/7/2013,Stationery & Consumables,Procurement,BANNER BUSINESS SERVIC,336,8.75
Companies House,CH,11/12/2013,Stationery & Consumables,Procurement,BANNER BUSINESS SERVIC,337,87.13
Companies House,CH,11/12/2013,Stationery & Consumables,Procurement,BANNER BUSINESS SERVIC,338,0.77
Companies House,CH,11/14/2013,Stationery & Consumables,Procurement,BANNER BUSINESS SERVIC,339,683.4
Companies House,CH,11/14/2013,Stationery & Consumables,Procurement,BANNER BUSINESS SERVIC,340,683.4
Companies House,CH,11/14/2013,Stationery & Consumables,Procurement,BANNER BUSINESS SERVIC,341,51.01
Companies House,CH,11/14/2013,Stationery & Consumables,Procurement,BANNER BUSINESS SERVIC,342,33.62
Companies House,CH,11/14/2013,Stationery & Consumables,Procurement,BANNER BUSINESS SERVIC,343,24.2
Companies House,CH,11/14/2013,Stationery & Consumables,Procurement,BANNER BUSINESS SERVIC,344,10.44
Companies House,CH,11/14/2013,Stationery & Consumables,Procurement,BANNER BUSINESS SERVIC,345,6.84
Companies House,CH,11/14/2013,Stationery & Consumables,Procurement,BANNER BUSINESS SERVIC,346,3.86
Companies House,CH,11/14/2013,Stationery & Consumables,Procurement,BANNER BUSINESS SERVIC,347,-10.44
Companies House,CH,11/19/2013,Stationery & Consumables,Procurement,BANNER BUSINESS SERVIC,348,97.77
Companies House,CH,11/19/2013,Stationery & Consumables,Procurement,BANNER BUSINESS SERVIC,349,55.08
